day,last_updated,date,rf_low,rf_median,rf_high,rf_p90,rf_p60,rf_p50,rf_p20,rf_pdcp20,rf_pdcp60,rf_pdcp90,rf_direction,current_close,knn_low,knn_median,knn_high,knn_direction,knn_p20,knn_p60,knn_p90,knn_p50,knn_pdcp20,knn_pdcp60,knn_pdcp90,analog_price,spearman_low,spearman_median,spearman_high,spearman_p20,spearman_p60,spearman_p90,spearman_p50,spearman_pdcp20,spearman_pdcp60,spearman_pdcp90,pearson_low,pearson_median,pearson_high,pearson_p20,pearson_p60,pearson_p90,pearson_p50,pearson_pdcp20,pearson_pdcp60,pearson_pdcp90,cosine_low,cosine_median,cosine_high,cosine_p20,cosine_p60,cosine_p90,cosine_p50,cosine_pdcp20,cosine_pdcp60,cosine_pdcp90,euclidean_low,euclidean_median,euclidean_high,euclidean_p20,euclidean_p60,euclidean_p90,euclidean_p50,euclidean_pdcp20,euclidean_pdcp60,euclidean_pdcp90,mse_low,mse_median,mse_high,mse_p20,mse_p60,mse_p90,mse_p50,mse_pdcp20,mse_pdcp60,mse_pdcp90,kendall_low,kendall_median,kendall_high,kendall_p20,kendall_p60,kendall_p90,kendall_p50,kendall_pdcp20,kendall_pdcp60,kendall_pdcp90,manhattan_low,manhattan_median,manhattan_high,manhattan_p20,manhattan_p60,manhattan_p90,manhattan_p50,manhattan_pdcp20,manhattan_pdcp60,manhattan_pdcp90,mahalanobis_low,mahalanobis_median,mahalanobis_high,mahalanobis_p20,mahalanobis_p60,mahalanobis_p90,mahalanobis_p50,mahalanobis_pdcp20,mahalanobis_pdcp60,mahalanobis_pdcp90,knn_method,analog_direction,spearman_direction,pearson_direction,cosine_direction,euclidean_direction,mse_direction,kendall_direction,manhattan_direction,mahalanobis_direction,xgb_low,xgb_median,xgb_high,xgb_direction,xgb_p90,xgb_p60,xgb_p50,xgb_p20,xgb_pdcp20,xgb_pdcp60,xgb_pdcp90,lgb_low,lgb_median,lgb_high,lgb_direction,lgb_p90,lgb_p60,lgb_p50,lgb_p20,lgb_pdcp20,lgb_pdcp60,lgb_pdcp90,knn2_low,knn2_median,knn2_high,knn2_p20,knn2_p60,knn2_p90,knn2_p50,knn2_pdcp20,knn2_pdcp60,knn2_pdcp90,knn2_direction,knn2_vote_pct,knn2_regime,knn2_n_neighbors
1,2026-04-23,2026-04-23,,,,,,,,,,,,,458.0,468.8,492.64,DOWN,481.75,465.48,458.0,468.8,481.75,,,457.99,458.0,468.8,492.64,481.75,465.48,458.0,468.8,481.75,,,446.29,466.36,482.22,477.82,459.7,446.29,466.36,477.82,,,446.29,466.36,482.22,477.82,459.7,446.29,466.36,477.82,,,447.12,469.13,493.1,489.98,464.38,447.12,469.13,489.98,,,447.12,469.13,493.1,489.98,464.38,447.12,469.13,489.98,,,450.58,468.8,492.64,481.75,464.12,450.58,468.8,481.75,,,,,,,,,,,,,,,,,,,,,,,,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,,,450.48,470.85,486.57,DOWN,450.48,466.6,470.85,486.57,486.57,,,452.64,475.17,491.92,UP,452.64,472.32,475.17,491.92,491.92,472.32,,,,,,,,,,,,,,,
1,2026-04-23,2026-04-24,,,,,,,,,,,,,464.66,475.76,501.15,DOWN,493.36,471.87,464.66,475.76,493.36,,,467.24,469.72,489.92,499.17,494.21,486.29,469.72,489.92,494.21,486.29,,464.66,475.76,501.15,493.36,471.87,464.66,475.76,493.36,,,469.05,492.72,503.97,501.52,485.87,469.05,492.72,501.52,485.87,,462.28,479.48,498.68,488.67,472.27,462.28,479.48,488.67,,,462.28,479.48,498.68,488.67,472.27,462.28,479.48,488.67,,,467.41,486.53,499.1,493.61,483.16,467.41,486.53,493.61,483.16,,,,,,,,,,,,,,,,,,,,,,,DOWN,UP,DOWN,UP,DOWN,DOWN,UP,,,460.24,479.52,495.66,DOWN,460.24,476.15,479.52,495.66,495.66,,,469.53,481.83,496.1,UP,469.53,482.39,481.83,496.1,496.1,482.39,,,,,,,,,,,,,,,
1,2026-04-26,2026-04-27,492.06,502.97,515.52,492.06,500.88,502.97,515.52,515.52,,,UP,,,,,,,,,,,,,473.52,470.52,499.9,527.18,522.36,496.97,470.52,499.9,522.36,,,469.93,494.99,522.22,511.83,493.55,469.93,494.99,511.83,,,469.95,487.93,505.73,497.93,478.4,469.95,487.93,,,,479.01,497.73,525.57,516.39,494.86,479.01,497.73,516.39,,,479.01,497.73,525.57,516.39,494.86,479.01,497.73,516.39,,,466.73,501.68,534.6,512.65,499.65,466.73,501.68,512.65,,,479.01,498.04,523.66,516.51,496.77,479.01,498.04,516.51,,,485.12,503.96,520.74,514.86,497.8,485.12,503.96,514.86,,,pearson,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,UP,483.95,503.34,520.26,UP,483.95,498.56,503.34,520.26,520.26,,,496.04,510.21,510.99,UP,496.04,504.68,510.21,510.99,510.99,504.68,,,,,,,,,,,,,,,
1,2026-04-27,2026-04-28,512.72,526.6,539.96,512.72,522.87,526.6,539.96,539.96,,,UP,,,,,,,,,,,,,528.93,492.72,526.52,551.22,546.18,520.19,492.72,526.52,546.18,,,491.36,518.26,546.03,536.44,516.29,491.36,518.26,536.44,,,491.38,520.58,547.88,539.81,514.82,491.38,520.58,539.81,,,500.85,517.05,547.54,539.93,511.27,500.85,517.05,539.93,,,500.85,517.05,547.54,539.93,511.27,500.85,517.05,539.93,,,488.02,524.56,558.98,536.03,522.44,488.02,524.56,536.03,,,500.85,520.51,547.54,539.87,517.29,500.85,520.51,539.87,,,503.95,526.94,543.31,535.86,516.31,503.95,526.94,535.86,,,spearman,UP,UP,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,UP,494.76,526.6,543.68,UP,494.76,523.86,526.6,543.68,543.68,,,515.63,523.35,541.43,DOWN,515.63,520.62,523.35,541.43,541.43,,,504.13,554.97,558.72,504.13,554.97,558.72,553.72,,554.97,558.72,UP,79.9,HIGH_VOL/UPTREND,20.0
1,2026-04-28,2026-04-29,495.78,508.47,520.82,495.78,505.99,508.47,520.82,520.82,505.99,,UP,,,,,,,,,,,,,508.49,474.22,507.85,530.95,525.07,504.29,474.22,507.85,525.07,,,486.19,504.29,520.98,515.69,501.45,486.19,504.29,515.69,,,473.59,502.5,525.22,516.59,499.31,473.59,502.5,516.59,,,473.39,499.4,524.93,517.74,494.2,473.39,499.4,517.74,,,473.39,499.4,524.93,517.74,494.2,473.39,499.4,517.74,,,500.35,504.29,556.67,547.12,503.4,500.35,504.29,547.12,,,483.44,506.09,524.93,517.57,501.87,483.44,506.09,517.57,,,486.35,509.21,529.81,516.92,506.88,486.35,509.21,516.92,506.88,,spearman,UP,UP,DOWN,DOWN,DOWN,DOWN,DOWN,UP,UP,486.09,504.66,522.25,UP,486.09,502.44,504.66,522.25,522.25,,,485.76,506.71,523.58,UP,485.76,497.24,506.71,523.58,523.58,,,510.41,522.72,523.86,510.41,522.72,523.86,522.34,510.41,522.72,523.86,UP,94.3,HIGH_VOL/UPTREND,20.0
2,2026-04-28,2026-04-30,489.15,508.92,526.21,489.15,505.21,508.92,526.21,526.21,505.21,,UP,,,,,,,,,,,,,546.58,462.96,504.29,541.27,521.69,502.19,462.96,504.29,521.69,,,455.43,499.22,526.82,514.3,490.65,455.43,499.22,514.3,,,461.8,492.92,515.25,504.29,486.42,461.8,492.92,,,,462.76,491.6,518.75,509.44,486.46,462.76,491.6,509.44,,,462.76,491.6,518.75,509.44,486.46,462.76,491.6,509.44,,,485.84,497.29,633.76,630.02,493.87,485.84,497.29,630.02,,,471.27,502.78,558.14,525.27,487.73,471.27,502.78,525.27,,,471.44,509.25,541.21,531.22,506.88,471.44,509.25,531.22,506.88,,spearman,UP,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,UP,480.49,505.4,530.2,UP,480.49,500.1,505.4,530.2,530.2,,,486.41,507.12,525.34,UP,486.41,498.95,507.12,525.34,525.34,,,512.97,522.41,523.36,512.97,522.41,523.36,522.09,512.97,522.41,523.36,UP,94.3,HIGH_VOL/UPTREND,20.0
1,2026-04-30,2026-05-01,506.59,524.54,537.34,506.59,520.21,524.54,537.34,537.34,520.21,,UP,,,,,,,,,,,,,546.14,496.9,516.19,537.02,529.2,512.47,496.9,516.19,529.2,,,488.44,513.31,537.02,528.21,509.63,488.44,513.31,528.21,,,488.34,516.39,533.21,529.5,511.44,488.34,516.39,529.5,,,501.5,518.66,534.43,530.02,516.25,501.5,518.66,530.02,,,501.5,518.66,534.43,530.02,516.25,501.5,518.66,530.02,,,459.73,517.71,558.32,532.77,495.8,459.73,517.71,532.77,,,501.5,518.16,541.94,531.4,516.15,501.5,518.16,531.4,,,498.69,524.65,539.63,528.1,516.04,498.69,524.65,528.1,,,spearman,UP,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,UP,501.54,519.35,535.34,DOWN,501.54,517.68,519.35,535.34,535.34,,,500.43,516.63,527.56,DOWN,500.43,514.94,516.63,527.56,527.56,,,516.2,531.29,536.27,516.2,531.29,536.27,529.63,527.59,531.29,536.27,DOWN,71.7,HIGH_VOL/UPTREND,20.0
1,2026-05-02,2026-05-04,531.72,550.83,564.03,531.72,545.16,550.83,564.03,564.03,545.16,,UP,,,,,,,,,,,,,533.2,509.88,533.8,559.96,552.96,530.38,509.88,533.8,552.96,,,509.3,540.46,564.65,553.89,534.95,509.3,540.46,553.89,,,509.2,535.17,551.88,551.2,528.04,509.2,535.17,551.2,,,508.99,542.21,564.4,554.23,541.09,508.99,542.21,554.23,,,508.99,542.21,564.4,554.23,541.09,508.99,542.21,554.23,,,503.67,542.21,588.19,567.58,539.38,503.67,542.21,567.58,,,523.72,540.29,554.58,552.63,538.19,523.72,540.29,552.63,,,522.83,543.48,555.31,550.6,532.21,522.83,543.48,550.6,,,spearman,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,UP,521.89,543.55,563.35,UP,521.89,540.17,543.55,563.35,563.35,,,529.77,560.26,562.07,UP,529.77,544.86,560.26,562.07,562.07,544.86,,524.36,534.23,545.52,524.36,534.23,545.52,532.39,516.42,533.15,545.52,DOWN,76.0,HIGH_VOL/UPTREND,20.0
1,2026-05-04,2026-05-05,561.6,579.29,598.52,561.6,574.93,579.29,598.52,598.52,,,UP,,,,,,,,,,,,,577.24,547.08,570.85,595.32,590.02,568.1,547.08,570.85,590.02,,,541.46,574.99,606.4,598.85,570.28,541.46,574.99,598.85,,,541.35,564.73,586.3,582.31,559.01,541.35,564.73,582.31,,,558.67,576.45,593.67,591.51,576.45,558.67,576.45,591.51,,,558.67,576.45,593.67,591.51,576.45,558.67,576.45,591.51,,,569.37,576.45,644.08,640.92,575.43,569.37,576.45,640.92,,,558.67,576.45,600.77,589.45,572.64,558.67,576.45,589.45,,,541.81,577.8,611.77,585.81,569.17,541.81,577.8,585.81,,,spearman,UP,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,UP,554.71,580.41,598.79,UP,554.71,576.39,580.41,598.79,598.79,,,559.03,573.53,580.36,DOWN,559.03,568.28,573.53,580.36,580.36,,,557.52,572.71,578.28,557.52,572.71,578.28,562.15,513.07,548.97,578.28,UP,84.8,HIGH_VOL/UPTREND,20.0
1,2026-05-05,2026-05-06,623.73,641.07,662.0,623.73,637.94,641.07,662.0,662.0,,,UP,,,,,,,,,,,,,592.66,540.66,576.45,608.82,595.87,567.53,540.66,576.45,595.87,,,523.15,572.45,609.15,603.22,553.54,523.15,572.45,603.22,,,527.88,567.3,583.86,579.03,561.43,527.88,567.3,579.03,,,528.98,574.32,600.2,596.31,565.7,528.98,574.32,596.31,,,528.98,574.32,600.2,596.31,565.7,528.98,574.32,596.31,,,562.58,581.51,669.79,621.54,576.28,562.58,581.51,621.54,,,544.24,574.64,616.48,597.27,570.69,544.24,574.64,597.27,,,541.13,580.27,627.12,602.63,574.43,541.13,580.27,602.63,,,spearman,UP,DOWN,DOWN,DOWN,DOWN,DOWN,UP,DOWN,UP,615.16,641.57,664.87,UP,615.16,637.38,641.57,664.87,664.87,,,615.05,641.94,653.88,UP,615.05,626.86,641.94,653.88,653.88,,,630.74,632.7,638.65,630.74,632.7,638.65,632.21,506.2,582.73,614.78,DOWN,70.9,HIGH_VOL/UPTREND,20.0
2,2026-05-05,2026-05-07,614.71,644.68,669.1,614.71,639.13,644.68,669.1,669.1,,,UP,,,,,,,,,,,,,596.59,536.32,576.03,638.55,608.06,563.48,536.32,576.03,608.06,,,522.34,581.48,617.57,604.42,569.37,522.34,581.48,604.42,,,515.82,576.03,593.91,588.63,564.31,515.82,576.03,588.63,,,535.12,574.41,625.44,608.13,571.51,535.12,574.41,608.13,,,535.12,574.41,625.44,608.13,571.51,535.12,574.41,608.13,,,552.9,561.28,639.45,611.42,558.21,552.9,561.28,611.42,,,556.24,576.45,626.9,605.65,571.51,556.24,576.45,605.65,,,537.2,567.28,641.16,584.83,563.76,537.2,567.28,584.83,,,spearman,UP,DOWN,UP,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,606.98,643.62,669.23,UP,606.98,636.34,643.62,669.23,669.23,,,609.14,643.13,657.43,UP,609.14,629.48,643.13,657.43,657.43,,,601.61,608.65,679.99,601.61,608.65,679.99,606.89,509.0,611.32,679.99,DOWN,70.9,HIGH_VOL/UPTREND,20.0
3,2026-05-05,2026-05-08,605.69,648.29,676.19,605.69,640.33,648.29,676.19,676.19,640.33,,UP,,,,,,,,,,,,,593.26,541.52,580.99,665.63,629.8,576.45,541.52,580.99,629.8,,,505.0,581.66,627.32,609.06,574.07,505.0,581.66,609.06,,,538.86,578.89,626.61,608.12,574.44,538.86,578.89,608.12,,,548.55,576.45,629.73,610.79,572.29,548.55,576.45,610.79,,,548.55,576.45,629.73,610.79,572.29,548.55,576.45,610.79,,,533.3,558.67,645.51,613.45,552.97,533.3,558.67,613.45,,,552.94,580.54,665.03,614.68,572.29,552.94,580.54,614.68,,,539.65,576.45,641.86,599.77,566.65,539.65,576.45,599.77,,,spearman,UP,UP,UP,UP,DOWN,DOWN,DOWN,UP,DOWN,598.81,645.66,673.59,UP,598.81,635.29,645.66,673.59,673.59,,,603.24,644.32,660.99,UP,603.24,632.11,644.32,660.99,660.99,,,640.76,642.99,645.98,640.76,642.99,645.98,642.43,640.76,642.99,645.98,DOWN,70.9,HIGH_VOL/UPTREND,20.0
1,2026-05-08,2026-05-11,596.68,651.9,683.29,596.68,641.52,651.9,683.29,683.29,641.52,,UP,746.81,,,,,,,,,,,,729.61,703.0,742.52,769.07,757.86,736.92,703.0,742.52,757.86,,,699.09,734.84,756.83,746.81,730.06,699.09,734.84,,,,721.4,734.4,752.0,748.94,731.48,721.4,734.4,748.94,,,716.94,738.97,764.76,759.32,734.12,716.94,738.97,759.32,,,716.94,738.97,764.76,759.32,734.12,716.94,738.97,759.32,,,680.72,733.71,767.75,753.79,726.63,680.72,733.71,753.79,,,712.28,746.81,773.22,769.62,738.7,712.28,746.81,769.62,,,719.98,748.56,828.13,780.61,735.38,719.98,748.56,780.61,,,spearman,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,UP,590.64,647.71,677.96,UP,590.64,634.24,647.71,677.96,677.96,,,597.33,645.51,664.54,UP,597.33,634.73,645.51,664.54,664.54,,,708.92,711.47,713.88,708.92,711.47,713.88,710.72,640.55,644.25,656.1,DOWN,77.6,HIGH_VOL/UPTREND,20.0
1,2026-05-12,2026-05-12,767.32,808.92,835.8,767.32,800.95,808.92,835.8,835.8,800.95,,UP,795.33,,,,,,,,,,,,790.9,735.02,780.18,803.56,795.33,777.43,735.02,780.18,,,,754.76,786.02,805.56,795.33,784.15,754.76,786.02,,,,777.73,799.37,818.04,812.24,794.33,777.73,799.37,812.24,,,763.52,783.46,821.9,810.24,781.81,763.52,783.46,810.24,,,763.52,783.46,821.9,810.24,781.81,763.52,783.46,810.24,,,723.86,781.38,790.79,786.24,772.76,723.86,781.38,,,,747.13,785.69,821.64,810.43,780.39,747.13,785.69,810.43,,,758.86,785.44,888.09,848.2,782.9,758.86,785.44,848.2,,,spearman,DOWN,DOWN,DOWN,UP,DOWN,DOWN,DOWN,DOWN,DOWN,759.06,791.58,833.1,DOWN,759.06,785.01,791.58,833.1,833.1,,,591.43,646.69,668.1,UP,591.43,637.36,646.69,668.1,668.1,,,719.41,719.41,804.73,719.41,719.41,804.73,719.41,537.32,603.09,804.73,DOWN,77.2,HIGH_VOL/UPTREND,20.0
2,2026-05-12,2026-05-13,759.95,810.92,852.5,759.95,802.6,810.92,852.5,852.5,802.6,,UP,795.33,,,,,,,,,,,,772.68,722.79,771.03,814.8,806.01,756.51,722.79,771.03,806.01,,,731.2,777.34,814.8,798.04,768.52,731.2,777.34,798.04,,,763.69,789.54,847.32,831.49,787.89,763.69,789.54,831.49,,,754.92,788.32,823.77,796.52,786.27,754.92,788.32,796.52,,,754.92,788.32,823.77,796.52,786.27,754.92,788.32,796.52,,,725.28,795.33,808.96,799.87,788.9,725.28,795.33,799.87,,,730.15,788.52,857.43,807.25,784.68,730.15,788.52,807.25,,,754.59,797.2,873.24,860.75,787.8,754.59,797.2,860.75,,,spearman,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,UP,747.62,788.65,838.22,DOWN,747.62,781.85,788.65,838.22,838.22,,,601.91,647.53,665.8,UP,601.91,638.92,647.53,665.8,665.8,,,724.15,725.73,780.46,724.15,725.73,780.46,725.33,,617.39,661.96,DOWN,77.2,HIGH_VOL/UPTREND,20.0
3,2026-05-12,2026-05-14,752.57,812.92,869.2,752.57,804.25,812.92,869.2,869.2,804.25,,UP,795.33,,,,,,,,,,,,764.53,707.39,757.95,811.94,807.29,744.2,707.39,757.95,807.29,,,734.77,782.07,833.11,807.29,771.2,734.77,782.07,807.29,,,769.81,801.27,880.94,833.45,795.33,769.81,801.27,833.45,795.33,,745.9,795.33,838.09,806.5,787.61,745.9,795.33,806.5,,,745.9,795.33,838.09,806.5,787.61,745.9,795.33,806.5,,,718.79,774.03,853.93,814.86,763.27,718.79,774.03,814.86,,,719.25,795.33,876.52,860.54,792.51,719.25,795.33,860.54,,,715.08,787.97,918.66,863.84,768.47,715.08,787.97,863.84,,,spearman,DOWN,DOWN,DOWN,UP,DOWN,DOWN,DOWN,DOWN,DOWN,736.18,785.72,843.33,DOWN,736.18,778.7,785.72,843.33,843.33,,,612.38,648.37,663.5,UP,612.38,640.47,648.37,663.5,663.5,640.47,,719.2,743.8,806.61,719.2,743.8,806.61,737.65,535.3,602.11,806.61,DOWN,77.2,HIGH_VOL/UPTREND,20.0
4,2026-05-12,2026-05-15,745.2,814.92,885.9,745.2,805.9,814.92,885.9,885.9,805.9,,UP,795.33,,,,,,,,,,,,752.76,700.06,776.59,840.38,805.02,764.67,700.06,776.59,805.02,,,723.03,783.72,837.13,808.44,776.55,723.03,783.72,808.44,,,764.47,801.27,898.14,839.18,793.15,764.47,801.27,839.18,,,762.44,789.3,843.21,820.98,781.28,762.44,789.3,820.98,,,762.44,789.3,843.21,820.98,781.28,762.44,789.3,820.98,,,726.02,787.3,926.17,861.67,784.83,726.02,787.3,861.67,,,758.27,795.33,892.55,843.24,785.46,758.27,795.33,843.24,,,697.62,786.96,963.58,897.64,765.17,697.62,786.96,897.64,,,spearman,DOWN,DOWN,DOWN,UP,DOWN,DOWN,DOWN,DOWN,DOWN,724.74,782.79,848.45,DOWN,724.74,775.55,782.79,848.45,848.45,,,622.86,649.21,661.2,UP,622.86,642.03,649.21,661.2,661.2,642.03,,724.35,726.74,796.37,724.35,726.74,796.37,726.14,543.7,674.06,796.37,DOWN,77.2,HIGH_VOL/UPTREND,20.0
